name	180322-190603	180626-180628-190531	180726-190530	180913-190529	180919-190527	181003-190524	181004-190521	181023-190319
Hsa-Mir-154-P28a_3p		1	80	18	23	45	96	41
Hsa-Mir-154-P28a_5p*			72	43	63	82	94	67
Hsa-Mir-154-P28b_3p	20	1	18	5	14		18	27
Hsa-Mir-154-P28b_5p			72	43	63	82	94	67
Hsa-Mir-154-P29_5p*		1	1	1	90	8		
Hsa-Mir-154-P30_3p	65		208	53	45	22	176	31
Hsa-Mir-154-P30_5p*			1	2	8			
Hsa-Mir-154-P36_3p	7184	137	14320	5914	16591	32464	34893	33855
Hsa-Mir-154-P36_5p*	737	21	1581	407	1385	2040	1883	1853
Hsa-Mir-154-P3a-v1_3p	12590	23	27221	14592	31409	52964	51747	55366
Hsa-Mir-154-P3a-v1_5p*	80	2	659	278	546	1142	1266	628
Hsa-Mir-154-P3a-v2_3p	12590	23	27221	14592	31409	52965	51747	55366
Hsa-Mir-154-P3a-v2_5p*	80	2	659	278	546	1142	1276	628
Hsa-Mir-154-P3b_3p	1316	3	4091	2117	3831	6328	5732	5964
Hsa-Mir-154-P3b_5p*				9	33	31	31	
Hsa-Mir-154-P4a_3p	8926	41	30138	10668	31106	43805	49860	45690
Hsa-Mir-154-P4a_5p*	164	11	406	156	245	778	1117	571
Hsa-Mir-154-P4b_3p	8926	41	30138	10668	31106	43805	49860	45690
Hsa-Mir-154-P4b_5p*	164	11	406	156	245	778	1117	571
Hsa-Mir-154-P5_3p	6526	10	19316	9256	26389	33270	38761	29836
Hsa-Mir-154-P5_5p	472	1	1308	608	2258	2479	3462	2228
Hsa-Mir-154-P6_3p	31	2	229	35	301	294	346	238
Hsa-Mir-154-P6_5p	97	1	376	115	365	365	538	1029
Hsa-Mir-154-P7_3p*	101	1	287	292	688	631	786	846
Hsa-Mir-154-P7_5p	11867	89	23293	10570	46230	70637	79639	95741
Hsa-Mir-154-P8_3p	304		1378	616	2045	1485	1518	1096
Hsa-Mir-154-P8_5p	63	1	143	62	139	205	345	512
Hsa-Mir-154-P9_3p	357	4	2414	721	2945	2165	3716	2324
Hsa-Mir-154-P9_5p*		1	25					55
Hsa-Mir-155_5p	1180	142	4842	1330	9573	3779	4496	7879
Hsa-Mir-17-P1a_3p*	43	6	492	108	204	206	86	115
Hsa-Mir-17-P1a_5p	1425	171	7787	2178	4267	4745	5338	4948
Hsa-Mir-17-P1b_3p*		1	127	38	351	86	218	198
Hsa-Mir-17-P1b_5p	369	171	2690	819	1887	1212	1101	1915
Hsa-Mir-17-P1c_3p*	165	29	1674	479	790	899	1306	966
Hsa-Mir-17-P1c_5p	21403	405	97028	30221	62447	62721	83298	69369
Hsa-Mir-17-P2a_3p*	74	19	323	74	233	435	486	354
Hsa-Mir-17-P2a_5p	32	15	526	158	271	798	585	525
Hsa-Mir-17-P2b_3p*		3	36	5	13	11	15	32
Hsa-Mir-17-P2b_5p		10	7	10	43	56	30	2
Hsa-Mir-17-P3a_3p*	72	5	97	38	182	177	174	215
Hsa-Mir-17-P3a_5p	1814	146	11837	3875	5632	5793	6688	5763
Hsa-Mir-17-P3b_3p*		2	147	19	126	19	78	345
Hsa-Mir-17-P3b_5p	252	53	2423	630	1467	907	1474	1539
Hsa-Mir-17-P3c_3p	3033	55	7234	2832	5620	7843	8694	7063
Hsa-Mir-17-P3c_5p	2239	37	12441	4786	9110	7240	9952	5351
Hsa-Mir-181-P1a_3p*	800	3	3213	1187	2149	2178	3186	2887
Hsa-Mir-181-P1a_5p	80337	750	532299	179238	745917	473836	683855	425217
Hsa-Mir-181-P1b_3p*	6679	29	14576	6001	8927	17724	17014	16853
Hsa-Mir-181-P1b_5p	80312	748	532249	179236	745925	473842	683840	425136
Hsa-Mir-181-P1c_3p*	157	6	1251	406	1373	954	1162	584
Hsa-Mir-181-P1c_5p	478	80	5501	1552	8110	3611	5218	4029
Hsa-Mir-181-P2a_3p*	9	2	120	81	223	261	424	280
Hsa-Mir-181-P2a_5p	26938	831	140373	51339	150017	147833	189657	132964
Hsa-Mir-181-P2b_3p*		1	95	34	99	90	199	104
Hsa-Mir-181-P2b_5p	27767	829	149543	52488	152892	153285	195344	137280
Hsa-Mir-181-P2c_3p*	5	1	11		6	8	29	
Hsa-Mir-181-P2c_5p	1163	142	4263	1125	4526	4341	5065	4146
Hsa-Mir-184_3p	10093	27	5934	5771	9101	18937	16524	16390
Hsa-Mir-185_3p*	54	15	394	73	220	362	419	328
Hsa-Mir-185_5p	6964	152	18841	4941	11092	14579	21508	13477
Hsa-Mir-186_3p*		1	63	53	18		2	
Hsa-Mir-186_5p	19527	199	65448	22672	51372	42679	58860	45569
Hsa-Mir-187_3p	181	67	2113	606	911	686	1303	659
Hsa-Mir-187_5p*	80	32	682	117	280	252	512	244
Hsa-Mir-188-P1_3p*		1	13	20	23		17	38
Hsa-Mir-188-P1_5p	13	27	524	291	229	234	250	228
Hsa-Mir-188-P2_3p*	2117	73	12943	5593	6512	5580	5996	3387
Hsa-Mir-188-P2_5p	18155	180	56087	25370	31028	43165	48659	43145
Hsa-Mir-188-P3_3p*	91	11	365	115	346	331	137	165
Hsa-Mir-188-P3_5p	5826	198	38138	13048	17217	12380	16660	11622
Hsa-Mir-19-P1_3p	261	28	532	318	681	635	667	502
Hsa-Mir-19-P2a_3p	601	70	6103	1900	4597	4073	4646	3049
Hsa-Mir-19-P2a_5p*					1	20		
Hsa-Mir-19-P2b_3p	601	70	6131	1912	4599	4073	4688	3050
Hsa-Mir-190-P1_3p*			202	42	61	52	29	254
Hsa-Mir-190-P1_5p	1213	88	5384	2692	3447	2803	3186	2947
Hsa-Mir-190-P2_5p	390	17	193	235	39	66	85	127
Hsa-Mir-1908_3p*	2	6	25	8	48	28	38	1
Hsa-Mir-1908_5p	46	8	466	256	649	503	518	495
Hsa-Mir-191_3p*	374	12	464	223	462	710	710	1416
Hsa-Mir-191_5p	145285	571	410240	174666	310854	321078	401215	338687
Hsa-Mir-1910_3p	24	5	110	20	20		12	
Hsa-Mir-1910_5p*	7	4	21	27	6	95	42	24
Hsa-Mir-1911_3p*		3						
Hsa-Mir-1911_5p	30	3	28	5				
Hsa-Mir-1912_3p	67	3	34	49	79	53	136	66
Hsa-Mir-1912_5p*		2	19		40	61	9	
Hsa-Mir-1913_3p*	79	5	8	15	1	17	32	
Hsa-Mir-1913_5p		6	46	1	41			
Hsa-Mir-1914_3p*		1			5		17	
Hsa-Mir-1914_5p		3	8	5	11	35	25	
Hsa-Mir-192-P1_3p*		1	91	8	130	76	58	
Hsa-Mir-192-P1_5p	45287	488	120836	32854	54852	47692	76141	51825
Hsa-Mir-192-P2_3p*			163					
