sample	batch		value
32150274_EXO_S3	181003-190524	ultraShortReadsPerc	27.337653893541553
32151489_EXO_S18	181003-190524	ultraShortReadsPerc	35.34462066016769
32150882_EXO_S11	181003-190524	ultraShortReadsPerc	36.62129534641553
32151625_EXO_S19	181003-190524	ultraShortReadsPerc	25.40669492794453
32150835_EXO_S10	181003-190524	ultraShortReadsPerc	26.693962599388534
32152348_EXO_S27	181003-190524	ultraShortReadsPerc	33.766380558512665
32160965_EXO_S9	181004-190521	ultraShortReadsPerc	27.248792197568296
32160622_EXO_S5	181004-190521	ultraShortReadsPerc	35.288867708726286
32161245_EXO_S17	181004-190521	ultraShortReadsPerc	28.89385019108469
32170434_EXO_S28	181004-190521	ultraShortReadsPerc	41.30031857870805
32160340_EXO_S2	181004-190521	ultraShortReadsPerc	24.60203945434412
32161045_EXO_S12	181004-190521	ultraShortReadsPerc	37.50377854018018
32170383_EXO_S25	181004-190521	ultraShortReadsPerc	39.837684522192035
32170272_EXO_S24	181004-190521	ultraShortReadsPerc	35.634290999033084
32160628_EXO_S6	181004-190521	ultraShortReadsPerc	38.71067995879316
32161104_EXO_S15	181004-190521	ultraShortReadsPerc	29.712926111900455
32161237_EXO_S16	181004-190521	ultraShortReadsPerc	33.88775930572683
32170016_EXO_S20	181004-190521	ultraShortReadsPerc	22.447573816729836
32161013_EXO_S11	181004-190521	ultraShortReadsPerc	30.005687672490048
32170385_EXO_S26	181004-190521	ultraShortReadsPerc	25.53628677271656
32150161_EXO_S32	181004-190521	ultraShortReadsPerc	33.042309490096144
32160612_EXO_S4	181004-190521	ultraShortReadsPerc	29.064037901754546
32161253_EXO_S18	181004-190521	ultraShortReadsPerc	28.32988673018025
32170268_EXO_S22	181004-190521	ultraShortReadsPerc	29.077713195385343
32170269_EXO_S23	181004-190521	ultraShortReadsPerc	36.33327134264377
32150116_EXO_S31	181004-190521	ultraShortReadsPerc	38.350498863023034
32161004_EXO_S10	181004-190521	ultraShortReadsPerc	28.372561752872887
32161392_EXO_S19	181004-190521	ultraShortReadsPerc	33.09351190376828
32160765_EXO_S8	181004-190521	ultraShortReadsPerc	32.22696187489353
32170450_EXO_S29	181004-190521	ultraShortReadsPerc	33.87170561325856
32160373_EXO_S3	181004-190521	ultraShortReadsPerc	28.29925775457974
32160284_EXO_S1	181004-190521	ultraShortReadsPerc	36.905141610056255
32170409_EXO_S27	181004-190521	ultraShortReadsPerc	35.2486663996848
