name	180913-190529_Brain_S36	32141643_EXO_S1	32141786_EXO_S2	32150013_EXO_S3	32150076_EXO_S4	32150080_EXO_S5	32150147_EXO_S6	32150163_EXO_S7	32150243_EXO_S8	32150292_EXO_S9	32150424_EXO_S10	32150696_EXO_S11	32150698_EXO_S12	32150825_EXO_S13	32150844_EXO_S14	32150849_EXO_S15	32150993_EXO_S16	32151026_EXO_S17	32151125_EXO_S18	32151152_EXO_S19	32151180_EXO_S20	32151226_EXO_S21	32151444_EXO_S22	32151565_EXO_S23	32151667_EXO_S24	32151691_EXO_S25	32151725_EXO_S26	32151765_EXO_S27	32151859_EXO_S28	32151881_EXO_S29	32151984_EXO_S30	32152084_EXO_S31	32152094_EXO_S32	32152253_EXO_S33	32152273_EXO_S34	32152341_EXO_S35
hsa-miR-16-5p	14950	113	47	277	496	208	1152	362	8	5	10	999	701	156	100	175	225	1737	684	1229	12	98	927	54	65	40	909	31	763	813	251	2237	110	518	589	243
hsa-miR-17-3p	45			7		5	8																		2				2	9		13	2	6	4	5
hsa-miR-17-5p	418	18		21	49	28	87	9	1		1	213	75	48		59		219		214		2	85	8	5	8	63	13	74	59	37	175	19	75	72	21
hsa-miR-181a-2-3p	1457	63	31	48	110	53	383	58				480	55		239		48	197	388	462	2	1	245	25		1	241	6	217	256	71	364	23	178	184	113
hsa-miR-181a-3p	896		14		7		9					109						10	61				2	9			9	1	5	7	7	14		11	7	1
hsa-miR-181a-5p	150105	170	194	130	1596	707	1962	528	10	797	213	2376	2293	839	172	328	264	3083	834	1107	71	5	1442	232	89	87	912	76	1005	1258	538	2841	253	1429	724	420
hsa-miR-181b-2-3p	27				2		2	1																								2				
hsa-miR-181b-3p	62																	17								1						1				
hsa-miR-181b-5p	42658	59	43	40	422	166	540	176	4	163	79	1028	394	273	2	126	82	916	830	893	1	3	448	45	33	10	272	29	383	441	142	744	91	347	280	102
hsa-miR-181c-3p	355				3		11																		1		3		1	9		8		2	8	5
hsa-miR-181c-5p	1245		1	1	10	15	18	3	1		2							112					10				13		13	14	6	54	4	14	14	2
hsa-miR-181d-5p	813		1	3	11	3	30	5			1		2	1		1	1	106					22	3	1		16	2	13	9	1	29		18	17	5
hsa-miR-182-3p																													1		2					
hsa-miR-182-5p	178	317	547	261	1052	1172	1570	398	14	110	229	3051	1965	857	3	268	298	3820	2009	3041	3	16	2024	144	55	20	1892	52	1514	1691	473	2059	216	1301	1408	972
hsa-miR-1827	2		35																													1				
hsa-miR-183-3p			7	1	9		5																32		4		20		4	2	2	7		13	4	7
hsa-miR-183-5p	124	165	494	158	651	413	975	233	1	5		1750	894	215	4	47	288	2307	790	1502	71	1	1456	144	48	22	1003	21	801	972	294	1216	160	823	774	528
hsa-miR-184	349	118	6	95	92	158	201	386	14		121	347		374	238	5	82	168	1	279	535	297	129	138	125	256	48	21	185	159	21	112	77	432	114	13
hsa-miR-1843	372	10		1	22	4	30	1				52						44		46			2	2			10		2	3	3	13	9	2	12	4
hsa-miR-185-3p	42		1		19		4	2																					1	1		1		2		
hsa-miR-185-5p	2861	15		28	79	30	85	30	1	1		83	64	106	45	26		95	270	252	1	1	97	14	5	15	72		86	88	32	182	35	139	58	40
hsa-miR-186-3p	7												41																					5		
hsa-miR-186-5p	5038	116	58	129	701	302	848	241	1	297	2	2205	984	421	107	104	6	1430	1072	1187	6	6	865	138	72	22	703	31	855	800	264	1686	141	823	604	345
hsa-miR-187-3p	43	3			17	16	34	7					48					11	89	122			17	3			14		8	20	14	21	10	57	40	8
hsa-miR-187-5p	4					2	6	2										17		23			5	3			2		5	16	3	10	5	12		2
hsa-miR-188-3p	2						12																						1			1		1		3
hsa-miR-188-5p	12	4			16		3					52	48							69			2	7			1			9	4	27	4	17	15	1
hsa-miR-18a-3p	21	5			3	2	1										1						13		3		3		4	8	2	4	1	2		1
hsa-miR-18a-5p	51						11		1							23								1			8	1	6	5	7	32		6	3	3
hsa-miR-18b-3p	2																												2	1						
hsa-miR-18b-5p	7																															2		1		
hsa-miR-1908-3p																										6										
hsa-miR-1908-5p	228	2					1																													
hsa-miR-1909-3p	7																																			
hsa-miR-1909-5p																																1				
hsa-miR-190a-3p							14	6																			8		2	2	1	3	2		4	
hsa-miR-190a-5p	299	9	10	5	71	29	80	16				594	108	24			1	438	208	172			98	3	3	5	85		117	83	18	82	4	56	31	39
hsa-miR-190b-5p	11				1	1	8						19								186					2					1		4			1
hsa-miR-191-3p	48			6	10	3	1	4		57								28					10				18	1	7	9	2	9		5	4	1
hsa-miR-191-5p	44521	821	786	818	4209	2069	5744	1450	36	527	1411	13362	8343	2739	1003	1003	729	12432	8450	10742	103	83	9104	1069	345	207	5536	312	5637	5180	2082	10024	1091	5029	4229	3270
hsa-miR-1910-3p	6					6	8																													
hsa-miR-1910-5p	5				18																											4				
hsa-miR-1911-5p	5																																			
hsa-miR-1912-3p	46																																			
hsa-miR-1913																							15													
hsa-miR-1914-5p	4																													1						
hsa-miR-1915-3p	1								1			23						11							4		1		5				1			
hsa-miR-192-3p							4																			3			1							
hsa-miR-192-5p	378	115	125	20	3875	473	2238	147	5	361	1	3447	2607	1249	1417	78	4	5153	1958	581	13	3	1622	79	43	64	239	102	469	335	470	4081	178	383	238	284
hsa-miR-193a-3p																													2	7		4				
hsa-miR-193a-5p	421	86	4	36	84	104	243	29	3			166	295	128	53	77	112	390	310	568	2		497	29	16	1	219	13	306	133	65	268	21	116	138	52
hsa-miR-193b-3p	123		18	1	13	26	19	2					54			17		41	1	32	1		48	2	1	2	28		30	29	6	40	4	36	13	10
